Name;Description
Consumidor final;Pessoa física que compra para uso pessoal/familiar.
Pequenas e Médias Empresas (PME);Negócios de menor dimensão com compras regulares ou pontuais.
Grandes empresas / Corporates;Empresas com grande volume de compras e processos formais.
Setor público / Administração;Entidades governamentais e serviços públicos.
Instituições e ONG;Organizações sem fins lucrativos e fundações.
Cliente internacional / expatriado;Compradores não nacionais ou que trazem necessidades transfronteiriças.
Cliente digital / online-only;Compra exclusivamente por canais digitais.
Cliente recorrente / subscritor;Tem relacionamento continuado (assinaturas/contratos).
Cliente VIP / alto valor;Pouco número mas muito valor por cliente; exige serviço premium.
Parceiro / revendedor;Intermediário que vende ou recomenda produtos/serviços.
