Name;Description
Engenheiro Civil;Responsável pelo planejamento, execução e fiscalização de obras civis
Mestre de Obras;Supervisiona e coordena as equipes de trabalho no canteiro de obras
Pedreiro;Executa serviços de alvenaria, revestimentos e acabamentos em construções
Servente de Obras;Auxilia nas atividades gerais do canteiro de obras e prepara materiais
Carpinteiro;Confecciona e instala estruturas de madeira, formas e esquadrias
Armador;Prepara e monta estruturas de ferro para concreto armado
Eletricista Predial;Instala e mantêm sistemas elétricos em edificações
Encanador;Instala e mantêm sistemas hidráulicos e sanitários
Pintor;Realiza serviços de pintura e acabamento em superfícies
Azulejista;Aplica revestimentos cerâmicos em pisos e paredes
Gesseiro;Executa trabalhos de revestimento e acabamento em gesso
Operador de Betoneira;Opera equipamentos de mistura e transporte de concreto
Operador de Escavadeira;Opera máquinas pesadas para escavação e movimentação de terra
Operador de Retroescavadeira;Opera equipamentos para escavação, carga e transporte
Motorista de Caminhão Basculante;Transporta materiais de construção e entulho
Topógrafo;Realiza medições e demarcações de terreno para obras
Técnico de Segurança do Trabalho;Garante cumprimento de normas de segurança no canteiro
Almoxarife de Obras;Controla estoque e distribuição de materiais de construção
Operador de Fossa Séptica;Especializado em limpeza e manutenção de sistemas sépticos
Técnico em Saneamento;Executa serviços de limpeza e desobstrução de redes de esgoto
Auxiliar de Limpeza de Fossas;Auxilia nas operações de limpeza de fossas e caixas de gordura
Motorista de Caminhão Limpa-Fossa;Opera veículo especializado para sucção de resíduos
Encarregado de Limpeza;Supervisiona equipes de limpeza e manutenção de fossas
Operador de Hidrojateamento;Opera equipamentos de limpeza de alta pressão
Técnico em Meio Ambiente;Garante descarte correto de resíduos conforme legislação
Soldador;Executa serviços de soldagem em estruturas metálicas
Telhadista;Instala e mantêm sistemas de cobertura e telhados
Montador de Andaimes;Monta e desmonta estruturas de apoio para trabalho em altura
Operador de Compactador;Opera equipamentos para compactação de solo e asfalto
Fiscal de Obras;Acompanha execução de obras garantindo qualidade e prazos
Gestor(a) Operacional;Gestor(a) Operacional
Ajudante;Ajudante
Técnico(a) Sênior;Técnico(a) Sênior
Técnico(a) Especialista;Técnico(a) Especialista
