Name;Description
Aldebaran;Time inspirado na Aldebaran, estrela anã alaranjada na constelação de Touro
Altair;Time inspirado na Altair, estrela rápida e brilhante da constelação de Águia
Antares;Time inspirado na Antares, gigante vermelha brilhante da constelação de Escorpião
Betelgeuse;Time inspirado na Betelgeuse, gigante vermelha da constelação de Órion
Polaris;Time inspirado na Polaris, a estrela do norte usada para navegação
Procyon;Time inspirado na Procyon, estrela brilhante da constelação de Cão Menor
Rigel;Time inspirado na Rigel, estrela azul brilhante de Órion
Sirius;Time inspirado na Sirius, a estrela mais brilhante do céu noturno
Spica;Time inspirado na Spica, estrela azul brilhante da constelação de Virgem
Vega;Time inspirado na Vega, estrela brilhante e referência na constelação de Lira
